loaddate,uniqueid,workorder,length,width,color,description
1/18/2024,10264959,25512462,99.875,18,TW ,0804X18 25P RR PAN TW F       
1/18/2024,10264958,25512462,99.875,18,TW ,0804X18 25P RR PAN TW F       
1/18/2024,10264957,25512462,99.875,18,TW ,0804X18 25P RR PAN TW F       
1/18/2024,10264956,25512462,99.875,18,TW ,0804X18 25P RR PAN TW F       
1/18/2024,10264955,25512462,99.875,18,TW ,0804X18 25P RR PAN TW F       
1/18/2024,10264964,25512431,95.875,18,ST ,0800X18 25P RR PAN ST F       
1/18/2024,10264963,25512431,95.875,18,ST ,0800X18 25P RR PAN ST F       
1/18/2024,10264966,25512428,191.875,18,ST ,1600X18 25P RR PAN ST F       
1/18/2024,10264965,25512428,191.875,18,ST ,1600X18 25P RR PAN ST F       
1/18/2024,10264967,25512479,107.875,21,AL ,0900X21 25P RR PAN AL SL      
1/18/2024,10264969,25512481,107.875,18,AL ,0900X18 25P RR PAN AL F       
1/18/2024,10264968,25512481,107.875,18,AL ,0900X18 25P RR PAN AL F       
1/18/2024,10264970,25512536,83.875,21,TW ,0700X21 24G RR PAN TW SL      
1/18/2024,10264973,25512538,83.875,18,TW ,0700X18 24G RR PAN TW F       
1/18/2024,10264972,25512538,83.875,18,TW ,0700X18 24G RR PAN TW F       
1/18/2024,10264971,25512538,83.875,18,TW ,0700X18 24G RR PAN TW F       
1/18/2024,10264985,25512487,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264986,25512487,95.875,21,TW ,0800X21 25P RR PAN TW SL      
